"exp","sample","dpi","synID","comID","syncom","strain","taxa","channel","cfu","cfu_log"
"e2","1","14dpi","C","Com04","C.04","meL92","Methylobacterium","C1",38500000,7.5854607295085
"e2","2","14dpi","C","Com04","C.04","meL92","Methylobacterium","C1",31800000,7.50242711998443
"e2","3","14dpi","C","Com04","C.04","meL92","Methylobacterium","C1",38000000,7.57978359661681
"e2","4","14dpi","C","Com04","C.04","meL92","Methylobacterium","C1",35600000,7.55144999797287
"e1","1","07dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",2940000,6.46834733041216
"e1","2","07dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",7610000,6.88138465677057
"e1","3","07dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",6570000,6.81756536955978
"e1","4","07dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",1e+07,7
"e2","1","07dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",33400000,7.52374646681156
"e2","2","07dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",2e+07,7.30102999566398
"e2","3","07dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",29100000,7.46389298898591
"e2","4","07dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",18600000,7.26951294421792
"e1","1","14dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",37300000,7.57170883180869
"e1","2","14dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",38700000,7.58771096501891
"e1","3","14dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",17500000,7.2430380486863
"e1","4","14dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",2120000,6.32633586092875
"e2","1","14dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",71700000,7.8555191556678
"e2","2","14dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",179000000,8.25285303097989
"e2","3","14dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",156000000,8.19312459835446
"e2","4","14dpi","S2","Com05","S2.05","meL92","Methylobacterium","C0",1e+08,8
"e1","1","07dpi","S2","Com06","S2.06","meL92","Methylobacterium","C0",10400000,7.01703333929878
"e1","2","07dpi","S2","Com06","S2.06","meL92","Methylobacterium","C0",8760000,6.94250410616808
"e1","3","07dpi","S2","Com06","S2.06","meL92","Methylobacterium","C0",5260000,6.72098574415374
"e1","4","07dpi","S2","Com06","S2.06","meL92","Methylobacterium","C0",15800000,7.19865708695442
"e2","1","07dpi","S2","Com06","S2.06","meL92","Methylobacterium","C1",4950000,6.69460519893357
"e2","2","07dpi","S2","Com06","S2.06","meL92","Methylobacterium","C1",7690000,6.88592633980143
"e2","3","07dpi","S2","Com06","S2.06","meL92","Methylobacterium","C1",12400000,7.09342168516223
"e2","4","07dpi","S2","Com06","S2.06","meL92","Methylobacterium","C1",7390000,6.86864443839483
