"exp","synID","comID","taxa","dpi","sample","cfu_total","log_total"
"e1","S2","Com12","Sphingomonas","07dpi","3",30800000,7.48855071650044
"e1","S2","Com12","Sphingomonas","07dpi","4",22100000,7.34439227368511
"e1","S2","Com12","Sphingomonas","14dpi","1",56100000,7.74896286125616
"e1","S2","Com12","Sphingomonas","14dpi","2",81200000,7.90955602924118
"e1","S2","Com12","Sphingomonas","14dpi","3",61200000,7.78675142214556
"e1","S2","Com12","Sphingomonas","14dpi","4",86300000,7.93601079571521
"e1","S2","Com14","Methylobacterium","07dpi","1",33400000,7.52374646681156
"e1","S2","Com14","Methylobacterium","07dpi","2",2e+07,7.30102999566398
"e1","S2","Com14","Methylobacterium","07dpi","3",10400000,7.01703333929878
"e1","S2","Com14","Methylobacterium","07dpi","4",14600000,7.16435285578444
"e1","S2","Com14","Methylobacterium","14dpi","1",2.06e+09,9.31386722036915
"e1","S2","Com14","Methylobacterium","14dpi","2",1.6e+08,8.20411998265593
"e1","S2","Com14","Methylobacterium","14dpi","3",1.6e+08,8.20411998265593
"e1","S2","Com14","Methylobacterium","14dpi","4",90200000,7.95520653754194
"e1","S2","Com14","Sphingomonas","07dpi","1",64400000,7.80888586735981
"e1","S2","Com14","Sphingomonas","07dpi","2",44200000,7.64542226934909
"e1","S2","Com14","Sphingomonas","07dpi","3",1.8e+07,7.25527250510331
"e1","S2","Com14","Sphingomonas","07dpi","4",43900000,7.64246452024212
"e1","S2","Com14","Sphingomonas","14dpi","1",1.39e+08,8.1430148002541
"e1","S2","Com14","Sphingomonas","14dpi","2",1.71e+08,8.23299611039215
"e1","S2","Com14","Sphingomonas","14dpi","3",1.8e+08,8.25527250510331
"e1","S2","Com14","Sphingomonas","14dpi","4",1e+08,8
"e1","S2","Com15","Methylobacterium","07dpi","1",5770000,6.76117581315573
"e1","S2","Com15","Methylobacterium","07dpi","2",14600000,7.16435285578444
"e1","S2","Com15","Methylobacterium","07dpi","3",2530000,6.40312052117582
"e1","S2","Com15","Methylobacterium","07dpi","4",5700000,6.75587485567249
"e1","S2","Com15","Methylobacterium","14dpi","1",83300000,7.92064500140679
"e1","S2","Com15","Methylobacterium","14dpi","2",75700000,7.87909587950007
"e1","S2","Com15","Methylobacterium","14dpi","3",34900000,7.54282542695918
"e1","S2","Com15","Methylobacterium","14dpi","4",66900000,7.82542611776782
"e1","S2","Com15","Sphingomonas","07dpi","1",30600000,7.48572142648158
"e1","S2","Com15","Sphingomonas","07dpi","2",83400000,7.92116605063774
"e1","S2","Com15","Sphingomonas","07dpi","3",36600000,7.56348108539441
