"","syncom","strain","dpi","r","type","fraction"
"257","C.01","meL85","07dpi",17,"regular_fraction",0.612903225806452
"258","C.01","meL85","07dpi",17,"random_fraction",0.365591397849462
"259","C.01","meL85","07dpi",17.2,"aggregate_fraction",0.021505376344086
"260","C.01","meL85","07dpi",17.2,"regular_fraction",0.634408602150538
"261","C.01","meL85","07dpi",17.2,"random_fraction",0.344086021505376
"262","C.01","meL85","07dpi",17.4,"aggregate_fraction",0.010752688172043
"263","C.01","meL85","07dpi",17.4,"regular_fraction",0.623655913978495
"264","C.01","meL85","07dpi",17.4,"random_fraction",0.365591397849462
"265","C.01","meL85","07dpi",17.6,"aggregate_fraction",0
"266","C.01","meL85","07dpi",17.6,"regular_fraction",0.634408602150538
"267","C.01","meL85","07dpi",17.6,"random_fraction",0.365591397849462
"268","C.01","meL85","07dpi",17.8,"aggregate_fraction",0
"269","C.01","meL85","07dpi",17.8,"regular_fraction",0.666666666666667
"270","C.01","meL85","07dpi",17.8,"random_fraction",0.333333333333333
"271","C.01","meL85","07dpi",18,"aggregate_fraction",0
"272","C.01","meL85","07dpi",18,"regular_fraction",0.67741935483871
"273","C.01","meL85","07dpi",18,"random_fraction",0.32258064516129
"274","C.01","meL85","07dpi",18.2,"aggregate_fraction",0
"275","C.01","meL85","07dpi",18.2,"regular_fraction",0.655913978494624
"276","C.01","meL85","07dpi",18.2,"random_fraction",0.344086021505376
"277","C.01","meL85","07dpi",18.4,"aggregate_fraction",0
"278","C.01","meL85","07dpi",18.4,"regular_fraction",0.688172043010753
"279","C.01","meL85","07dpi",18.4,"random_fraction",0.311827956989247
"280","C.01","meL85","07dpi",18.6,"aggregate_fraction",0
"281","C.01","meL85","07dpi",18.6,"regular_fraction",0.709677419354839
"282","C.01","meL85","07dpi",18.6,"random_fraction",0.290322580645161
"283","C.01","meL85","07dpi",18.8,"aggregate_fraction",0
"284","C.01","meL85","07dpi",18.8,"regular_fraction",0.731182795698925
"285","C.01","meL85","07dpi",18.8,"random_fraction",0.268817204301075
"286","C.01","meL85","07dpi",19,"aggregate_fraction",0
"287","C.01","meL85","07dpi",19,"regular_fraction",0.709677419354839
"288","C.01","meL85","07dpi",19,"random_fraction",0.290322580645161
"289","C.01","meL85","07dpi",19.2,"aggregate_fraction",0
"290","C.01","meL85","07dpi",19.2,"regular_fraction",0.709677419354839
"291","C.01","meL85","07dpi",19.2,"random_fraction",0.290322580645161
"292","C.01","meL85","07dpi",19.4,"aggregate_fraction",0
"293","C.01","meL85","07dpi",19.4,"regular_fraction",0.709677419354839
"294","C.01","meL85","07dpi",19.4,"random_fraction",0.290322580645161
"295","C.01","meL85","07dpi",19.6,"aggregate_fraction",0
"296","C.01","meL85","07dpi",19.6,"regular_fraction",0.698924731182796
"297","C.01","meL85","07dpi",19.6,"random_fraction",0.301075268817204
"298","C.01","meL85","07dpi",19.8,"aggregate_fraction",0
"299","C.01","meL85","07dpi",19.8,"regular_fraction",0.709677419354839
"300","C.01","meL85","07dpi",19.8,"random_fraction",0.290322580645161
"301","C.01","meL85","07dpi",20,"aggregate_fraction",0
"302","C.01","meL85","07dpi",20,"regular_fraction",0.709677419354839
"303","C.01","meL85","07dpi",20,"random_fraction",0.290322580645161
"304","C.01","meL85","07dpi",20.2,"aggregate_fraction",0
"305","C.01","meL85","07dpi",20.2,"regular_fraction",0.709677419354839
"306","C.01","meL85","07dpi",20.2,"random_fraction",0.290322580645161
"307","C.01","meL85","07dpi",20.4,"aggregate_fraction",0
"308","C.01","meL85","07dpi",20.4,"regular_fraction",0.709677419354839
"309","C.01","meL85","07dpi",20.4,"random_fraction",0.290322580645161
"310","C.01","meL85","07dpi",20.6,"aggregate_fraction",0
"311","C.01","meL85","07dpi",20.6,"regular_fraction",0.720430107526882
"312","C.01","meL85","07dpi",20.6,"random_fraction",0.279569892473118
"313","C.01","meL85","07dpi",20.8,"aggregate_fraction",0
"314","C.01","meL85","07dpi",20.8,"regular_fraction",0.752688172043011
"315","C.01","meL85","07dpi",20.8,"random_fraction",0.247311827956989
"316","C.01","meL85","07dpi",21,"aggregate_fraction",0
"317","C.01","meL85","07dpi",21,"regular_fraction",0.741935483870968
"318","C.01","meL85","07dpi",21,"random_fraction",0.258064516129032
"319","C.01","meL85","07dpi",21.2,"aggregate_fraction",0
"320","C.01","meL85","07dpi",21.2,"regular_fraction",0.752688172043011
"321","C.01","meL85","07dpi",21.2,"random_fraction",0.247311827956989
"322","C.01","meL85","07dpi",21.4,"aggregate_fraction",0
"323","C.01","meL85","07dpi",21.4,"regular_fraction",0.720430107526882
"324","C.01","meL85","07dpi",21.4,"random_fraction",0.279569892473118
"325","C.01","meL85","07dpi",21.6,"aggregate_fraction",0
"326","C.01","meL85","07dpi",21.6,"regular_fraction",0.752688172043011
"327","C.01","meL85","07dpi",21.6,"random_fraction",0.247311827956989
"328","C.01","meL85","07dpi",21.8,"aggregate_fraction",0
"329","C.01","meL85","07dpi",21.8,"regular_fraction",0.774193548387097
"330","C.01","meL85","07dpi",21.8,"random_fraction",0.225806451612903
"331","C.01","meL85","07dpi",22,"aggregate_fraction",0
"332","C.01","meL85","07dpi",22,"regular_fraction",0.763440860215054
"333","C.01","meL85","07dpi",22,"random_fraction",0.236559139784946
