"exp","dpi","synID","comID","syncom","strain","rep","cell","total_area","cell_area","logCell"
"e2","07dpi","S3","Com07","S3.07","meL85",3,79,0.001628118128,48522.2777397882,4.68594117938751
"e2","07dpi","S3","Com07","S3.07","meL85",4,423,0.001001918848,422189.881789708,5.625507820787
"e2","07dpi","S3","Com07","S3.07","meL92",1,979,0.00187859784,521133.357632307,5.71694887315136
"e2","07dpi","S3","Com07","S3.07","meL92",2,440,0.00187859784,234217.239385307,5.36961885783441
"e2","07dpi","S3","Com07","S3.07","meL92",3,9311,0.002003837696,4646583.9117541,6.66713378439629
"e2","07dpi","S3","Com07","S3.07","meL92",4,3163,0.00187859784,1683702.56403574,6.22626537326394
"e2","07dpi","S3","Com07","S3.07","spfa2",1,4922,0.00187859784,2620039.20966927,6.41830779071501
"e2","07dpi","S3","Com07","S3.07","spfa2",2,5750,0.00187859784,3060793.4692398,6.48583402603785
"e2","07dpi","S3","Com07","S3.07","spfa2",3,2144,0.002003837696,1069946.9344647,6.02936223876871
"e2","07dpi","S3","Com07","S3.07","spfa2",4,8246,0.00187859784,4389443.99084372,6.64240951181356
"e2","07dpi","S3","Com08","S3.08","meL85",1,1571,0.001628118128,964917.700369712,5.98449027313704
"e2","07dpi","S3","Com08","S3.08","meL85",3,69,0.000250479712,275471.412231582,5.44007653547718
"e2","07dpi","S3","Com08","S3.08","meL85",4,1105,0.000500959424,2205767.46750651,6.34355972709707
"e2","07dpi","S3","Com08","S3.08","mr01",1,278,0.001377638416,201794.605007589,5.30490955116375
"e2","07dpi","S3","Com08","S3.08","mr01",3,20,0.000250479712,79846.7861540818,4.9022574404039
"e2","07dpi","S3","Com08","S3.08","mr01",4,331,0.000751439136,440488.103616685,5.64393418379598
"e2","07dpi","S3","Com08","S3.08","spfa2",1,3351,0.001628118128,2058204.46463329,6.31348851593234
"e2","07dpi","S3","Com08","S3.08","spfa2",3,193,0.000250479712,770521.486386889,5.8867847537477
"e2","07dpi","S3","Com08","S3.08","spfa2",4,795,0.000751439136,1057969.91654158,6.02447331867673
"e2","07dpi","S3","Com09","S3.09","meL92",1,93,0.00187859784,49505.0074155307,4.69464912990216
"e2","07dpi","S3","Com09","S3.09","meL92",2,1334,0.00187859784,710104.084863634,5.85132201092875
"e2","07dpi","S3","Com09","S3.09","meL92",3,52,0.001502878272,34600.2740001021,4.53907953799108
"e2","07dpi","S3","Com09","S3.09","meL92",4,73,0.001628118128,44837.0414557536,4.65163694821752
"e2","07dpi","S3","Com09","S3.09","mr01",1,515,0.001753357984,293722.106209658,5.46793663376686
"e2","07dpi","S3","Com09","S3.09","mr01",2,6551,0.00187859784,3487175.3073026,6.54247378078016
"e2","07dpi","S3","Com09","S3.09","mr01",3,2726,0.002003837696,1360389.61910017,6.13366330924663
"e2","07dpi","S3","Com09","S3.09","mr01",4,537,0.00187859784,285851.494431613,5.45614046704778
"e2","07dpi","S3","Com09","S3.09","spfa2",1,2733,0.00187859784,1454808.44372737,6.16280581304088
"e2","07dpi","S3","Com09","S3.09","spfa2",2,3694,0.00187859784,1966360.18702119,6.29366307245244
"e2","07dpi","S3","Com09","S3.09","spfa2",3,7549,0.002003837696,3767271.17923227,6.57602688311946
"e2","07dpi","S3","Com09","S3.09","spfa2",4,2606,0.00187859784,1387204.83145025,6.14214059272479
"e2","07dpi","S3","Com10","S3.10","meL85",1,3,0.000250479712,11977.0179231123,4.07834869945958
"e2","07dpi","S3","Com10","S3.10","meL85",2,3,0.000125239856,23954.0358462245,4.37937869512357
"e2","07dpi","S3","Com10","S3.10","meL85",4,101,0.00062619928,161290.508031245,5.20760880985053
"e2","07dpi","S3","Com10","S3.10","meL92",1,1192,0.000876678992,1359676.70136665,6.13343565579386
"e2","07dpi","S3","Com10","S3.10","meL92",2,205,0.000125239856,1636859.11615868,6.21401130145966
"e2","07dpi","S3","Com10","S3.10","meL92",4,454,0.00062619928,725008.818279063,5.86034328892499
