exp,dpi,synID,comID,syncom,strain,channel
e1,14dpi,S2,Com12,S2.12,meL85,C0
e1,14dpi,S2,Com12,S2.12,spfa2,C1
e2,07dpi,S2,Com12,S2.12,meL85,C0
e2,07dpi,S2,Com12,S2.12,spfa2,C1
e1,07dpi,S2,Com14,S2.14,mr01,C0
e1,07dpi,S2,Com14,S2.14,spfa2,C1
e1,14dpi,S2,Com14,S2.14,mr01,C0
e1,14dpi,S2,Com14,S2.14,spfa2,C1
e2,07dpi,S2,Com14,S2.14,mr01,C0
e2,07dpi,S2,Com14,S2.14,spfa2,C1
e2,14dpi,S2,Com14,S2.14,mr01,C0
e2,14dpi,S2,Com14,S2.14,spfa2,C1
e1,07dpi,S2,Com15,S2.15,meL92,C0
e1,07dpi,S2,Com15,S2.15,spfa2,C1
e1,14dpi,S2,Com15,S2.15,meL92,C0
e1,14dpi,S2,Com15,S2.15,spfa2,C1
e2,07dpi,S2,Com15,S2.15,meL92,C0
e2,07dpi,S2,Com15,S2.15,spfa2,C1
e2,14dpi,S2,Com15,S2.15,meL92,C0
e2,14dpi,S2,Com15,S2.15,spfa2,C1
e1,07dpi,S3,Com01,S3.01,smfr1,C0
e1,07dpi,S3,Com01,S3.01,spfa2,C1
e1,07dpi,S3,Com01,S3.01,meL85,C2
e1,14dpi,S3,Com01,S3.01,smfr1,C0
e1,14dpi,S3,Com01,S3.01,spfa2,C1
e1,14dpi,S3,Com01,S3.01,meL85,C2
e2,07dpi,S3,Com01,S3.01,smfr1,C0
e2,07dpi,S3,Com01,S3.01,spfa2,C1
e2,07dpi,S3,Com01,S3.01,meL85,C2
e2,14dpi,S3,Com01,S3.01,smfr1,C0
e2,14dpi,S3,Com01,S3.01,spfa2,C1
e2,14dpi,S3,Com01,S3.01,meL85,C2
e1,07dpi,S3,Com02,S3.02,smfr1,C0
e1,07dpi,S3,Com02,S3.02,spfa2,C1
e1,07dpi,S3,Com02,S3.02,meL92,C2
e1,14dpi,S3,Com02,S3.02,smfr1,C0
e1,14dpi,S3,Com02,S3.02,spfa2,C1
e1,14dpi,S3,Com02,S3.02,meL92,C2
e2,07dpi,S3,Com02,S3.02,smfr1,C0
e2,07dpi,S3,Com02,S3.02,spfa2,C1
e2,07dpi,S3,Com02,S3.02,meL92,C2
e2,14dpi,S3,Com02,S3.02,smfr1,C0
e2,14dpi,S3,Com02,S3.02,spfa2,C1
e2,14dpi,S3,Com02,S3.02,meL92,C2
e1,07dpi,S3,Com03,S3.03,smfr1,C0
e1,07dpi,S3,Com03,S3.03,spfa2,C1
e1,07dpi,S3,Com03,S3.03,mr01,C2
e1,14dpi,S3,Com03,S3.03,smfr1,C0
e1,14dpi,S3,Com03,S3.03,spfa2,C1
e1,14dpi,S3,Com03,S3.03,mr01,C2
e2,07dpi,S3,Com03,S3.03,smfr1,C0
e2,07dpi,S3,Com03,S3.03,spfa2,C1
e2,07dpi,S3,Com03,S3.03,mr01,C2
e2,14dpi,S3,Com03,S3.03,smfr1,C0
e2,14dpi,S3,Com03,S3.03,spfa2,C1
e2,14dpi,S3,Com03,S3.03,mr01,C2
e1,07dpi,S3,Com04,S3.04,smfr1,C0
e1,07dpi,S3,Com04,S3.04,meL85,C1
e1,07dpi,S3,Com04,S3.04,meL92,C2
e1,14dpi,S3,Com04,S3.04,smfr1,C0
e1,14dpi,S3,Com04,S3.04,meL85,C1
e1,14dpi,S3,Com04,S3.04,meL92,C2
e2,07dpi,S3,Com04,S3.04,smfr1,C0
e2,07dpi,S3,Com04,S3.04,meL85,C1
e2,07dpi,S3,Com04,S3.04,meL92,C2
e2,14dpi,S3,Com04,S3.04,smfr1,C0
e2,14dpi,S3,Com04,S3.04,meL85,C1
e2,14dpi,S3,Com04,S3.04,meL92,C2
e1,07dpi,S3,Com05,S3.05,smfr1,C0
e1,07dpi,S3,Com05,S3.05,meL85,C1
e1,07dpi,S3,Com05,S3.05,mr01,C2
e1,14dpi,S3,Com05,S3.05,smfr1,C0
e1,14dpi,S3,Com05,S3.05,meL85,C1
e1,14dpi,S3,Com05,S3.05,mr01,C2
e2,07dpi,S3,Com05,S3.05,smfr1,C0
e2,07dpi,S3,Com05,S3.05,meL85,C1
e2,07dpi,S3,Com05,S3.05,mr01,C2
e2,14dpi,S3,Com05,S3.05,smfr1,C0
e2,14dpi,S3,Com05,S3.05,meL85,C1
e2,14dpi,S3,Com05,S3.05,mr01,C2
e1,07dpi,S3,Com06,S3.06,smfr1,C0
e1,07dpi,S3,Com06,S3.06,meL92,C1
e1,07dpi,S3,Com06,S3.06,mr01,C2
e1,14dpi,S3,Com06,S3.06,smfr1,C0
e1,14dpi,S3,Com06,S3.06,meL92,C1
e1,14dpi,S3,Com06,S3.06,mr01,C2
e2,07dpi,S3,Com06,S3.06,smfr1,C0
e2,07dpi,S3,Com06,S3.06,meL92,C1
e2,07dpi,S3,Com06,S3.06,mr01,C2
e2,14dpi,S3,Com06,S3.06,smfr1,C0
e2,14dpi,S3,Com06,S3.06,meL92,C1
e2,14dpi,S3,Com06,S3.06,mr01,C2
e1,07dpi,S3,Com07,S3.07,meL85,C0
e1,07dpi,S3,Com07,S3.07,spfa2,C1
e1,07dpi,S3,Com07,S3.07,meL92,C2
e1,14dpi,S3,Com07,S3.07,meL85,C0
e1,14dpi,S3,Com07,S3.07,spfa2,C1
e1,14dpi,S3,Com07,S3.07,meL92,C2
e2,07dpi,S3,Com07,S3.07,meL85,C0
e2,07dpi,S3,Com07,S3.07,spfa2,C1
e2,07dpi,S3,Com07,S3.07,meL92,C2
e2,14dpi,S3,Com07,S3.07,meL85,C0
e2,14dpi,S3,Com07,S3.07,spfa2,C1
e2,14dpi,S3,Com07,S3.07,meL92,C2
e1,07dpi,S3,Com08,S3.08,meL85,C0
e1,07dpi,S3,Com08,S3.08,spfa2,C1
e1,07dpi,S3,Com08,S3.08,mr01,C2
e1,14dpi,S3,Com08,S3.08,meL85,C0
e1,14dpi,S3,Com08,S3.08,spfa2,C1
e1,14dpi,S3,Com08,S3.08,mr01,C2
e2,07dpi,S3,Com08,S3.08,meL85,C0
e2,07dpi,S3,Com08,S3.08,spfa2,C1
e2,07dpi,S3,Com08,S3.08,mr01,C2
e2,14dpi,S3,Com08,S3.08,meL85,C0
e2,14dpi,S3,Com08,S3.08,spfa2,C1
e2,14dpi,S3,Com08,S3.08,mr01,C2
e1,07dpi,S3,Com09,S3.09,meL92,C0
e1,07dpi,S3,Com09,S3.09,spfa2,C1
e1,07dpi,S3,Com09,S3.09,mr01,C2
e1,14dpi,S3,Com09,S3.09,meL92,C0
e1,14dpi,S3,Com09,S3.09,spfa2,C1
e1,14dpi,S3,Com09,S3.09,mr01,C2
e2,07dpi,S3,Com09,S3.09,meL92,C0
e2,07dpi,S3,Com09,S3.09,spfa2,C1
e2,07dpi,S3,Com09,S3.09,mr01,C2
e2,14dpi,S3,Com09,S3.09,meL92,C0
e2,14dpi,S3,Com09,S3.09,spfa2,C1
e2,14dpi,S3,Com09,S3.09,mr01,C2
e1,07dpi,S3,Com10,S3.10,meL85,C0
e1,07dpi,S3,Com10,S3.10,meL92,C1
e1,07dpi,S3,Com10,S3.10,mr01,C2
e1,14dpi,S3,Com10,S3.10,meL85,C0
e1,14dpi,S3,Com10,S3.10,meL92,C1
e1,14dpi,S3,Com10,S3.10,mr01,C2
e2,07dpi,S3,Com10,S3.10,meL85,C0
e2,07dpi,S3,Com10,S3.10,meL92,C1
e2,07dpi,S3,Com10,S3.10,mr01,C2
e2,14dpi,S3,Com10,S3.10,meL85,C0
e2,14dpi,S3,Com10,S3.10,meL92,C1
e2,14dpi,S3,Com10,S3.10,mr01,C2
e2,14dpi,S2,Com08,S2.08,meL85,C0
e2,14dpi,S2,Com08,S2.08,smfr1,C1
e2,14dpi,S2,Com09,S2.09,mr01,C0
e2,14dpi,S2,Com09,S2.09,smfr1,C1
e2,14dpi,S2,Com11,S2.11,spfa2,C0
e2,14dpi,S2,Com11,S2.11,smfr1,C1
e2,14dpi,S2,Com12,S2.12,meL85,C0
e2,14dpi,S2,Com12,S2.12,spfa2,C1
