exp,sample,dpi,synID,comID,syncom,strain,taxa,channel,cfu
e1,4,14dpi,C,Com04,C.04,meL92,Methylobacterium,C0,1.21E+07
e2,1,14dpi,C,Com04,C.04,meL92,Methylobacterium,C0,2.39E+07
e2,2,14dpi,C,Com04,C.04,meL92,Methylobacterium,C0,6.49E+07
e2,3,14dpi,C,Com04,C.04,meL92,Methylobacterium,C0,7.27E+07
e2,4,14dpi,C,Com04,C.04,meL92,Methylobacterium,C0,4.39E+07
e1,1,14dpi,C,Com04,C.04,meL92,Methylobacterium,C1,7.91E+05
e1,2,14dpi,C,Com04,C.04,meL92,Methylobacterium,C1,4.29E+06
e1,3,14dpi,C,Com04,C.04,meL92,Methylobacterium,C1,1.65E+06
e1,4,14dpi,C,Com04,C.04,meL92,Methylobacterium,C1,3.23E+06
e2,1,14dpi,C,Com04,C.04,meL92,Methylobacterium,C1,3.85E+07
e2,2,14dpi,C,Com04,C.04,meL92,Methylobacterium,C1,3.18E+07
e2,3,14dpi,C,Com04,C.04,meL92,Methylobacterium,C1,3.80E+07
e2,4,14dpi,C,Com04,C.04,meL92,Methylobacterium,C1,3.56E+07
e1,1,07dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,2.94E+06
e1,2,07dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,7.61E+06
e1,3,07dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,6.57E+06
e1,4,07dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,1.00E+07
e2,1,07dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,3.34E+07
e2,2,07dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,2.00E+07
e2,3,07dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,2.91E+07
e2,4,07dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,1.86E+07
e1,1,14dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,3.73E+07
e1,2,14dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,3.87E+07
e1,3,14dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,1.75E+07
e1,4,14dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,2.12E+06
e2,1,14dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,7.17E+07
e2,2,14dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,1.79E+08
e2,3,14dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,1.56E+08
e2,4,14dpi,S2,Com05,S2.05,meL92,Methylobacterium,C0,1.00E+08
e1,1,07dpi,S2,Com06,S2.06,meL92,Methylobacterium,C0,1.04E+07
e1,2,07dpi,S2,Com06,S2.06,meL92,Methylobacterium,C0,8.76E+06
e1,3,07dpi,S2,Com06,S2.06,meL92,Methylobacterium,C0,5.26E+06
e1,4,07dpi,S2,Com06,S2.06,meL92,Methylobacterium,C0,1.58E+07
e2,1,07dpi,S2,Com06,S2.06,meL92,Methylobacterium,C1,4.95E+06
e2,2,07dpi,S2,Com06,S2.06,meL92,Methylobacterium,C1,7.69E+06
e2,3,07dpi,S2,Com06,S2.06,meL92,Methylobacterium,C1,1.24E+07
e2,4,07dpi,S2,Com06,S2.06,meL92,Methylobacterium,C1,7.39E+06
e1,1,14dpi,S2,Com06,S2.06,meL92,Methylobacterium,C0,6.80E+07
e1,2,14dpi,S2,Com06,S2.06,meL92,Methylobacterium,C0,2.67E+08
e1,3,14dpi,S2,Com06,S2.06,meL92,Methylobacterium,C0,2.28E+08
e1,4,14dpi,S2,Com06,S2.06,meL92,Methylobacterium,C0,1.03E+08
e2,1,14dpi,S2,Com06,S2.06,meL92,Methylobacterium,C1,3.84E+06
e2,2,14dpi,S2,Com06,S2.06,meL92,Methylobacterium,C1,1.76E+06
e2,3,14dpi,S2,Com06,S2.06,meL92,Methylobacterium,C1,3.04E+06
e2,4,14dpi,S2,Com06,S2.06,meL92,Methylobacterium,C1,7.07E+06
e1,1,07dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,5.77E+06
e1,2,07dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,1.46E+07
e1,3,07dpi,S2,Com15,S2.15,meL92,Methylobacterium,C0,2.53E+06
